ticker,name,isin,exchange,sector,industry,market_data_ticker,country,universe
KSCL,Kaveri Seed Company Limited,INE455I01029,NSE,Unclassified,Unclassified,KSCL.NS,IN,NSE_MAINBOARD
KSHINTL,KSH International Limited,INE987S01020,NSE,Unclassified,Unclassified,KSHINTL.NS,IN,NSE_MAINBOARD
KSHITIJPOL,Kshitij Polyline Limited,INE013801027,NSE,Unclassified,Unclassified,KSHITIJPOL.NS,IN,NSE_MAINBOARD
KSL,Kalyani Steels Limited,INE907A01026,NSE,Unclassified,Unclassified,KSL.NS,IN,NSE_MAINBOARD
KSOLVES,Ksolves India Limited,INE0D6I01023,NSE,Unclassified,Unclassified,KSOLVES.NS,IN,NSE_MAINBOARD
KSR,KSR Footwear Limited,INE1SPP01016,NSE,Unclassified,Unclassified,KSR.NS,IN,NSE_MAINBOARD
KTKBANK,The Karnataka Bank Limited,INE614B01018,NSE,Unclassified,Unclassified,KTKBANK.NS,IN,NSE_MAINBOARD
KUANTUM,Kuantum Papers Limited,INE529I01021,NSE,Unclassified,Unclassified,KUANTUM.NS,IN,NSE_MAINBOARD
KUSUMGAR,Kusumgar Limited,INE0ISX01025,NSE,Unclassified,Unclassified,KUSUMGAR.NS,IN,NSE_MAINBOARD
KWIL,Kwality Wall's (India) Limited,INE2KCE01013,NSE,Unclassified,Unclassified,KWIL.NS,IN,NSE_MAINBOARD
LAGNAM,Lagnam Spintex Limited,INE548Z01017,NSE,Unclassified,Unclassified,LAGNAM.NS,IN,NSE_MAINBOARD
LAHOTIOV,Lahoti Overseas Limited,INE515C01023,NSE,Unclassified,Unclassified,LAHOTIOV.NS,IN,NSE_MAINBOARD
LAKPRE,Lakshmi Precision Screws Limited,INE651C01018,NSE,Unclassified,Unclassified,LAKPRE.NS,IN,NSE_MAINBOARD
LAL,Lorenzini Apparels Limited,INE740X01023,NSE,Unclassified,Unclassified,LAL.NS,IN,NSE_MAINBOARD
LALPATHLAB,Dr. Lal Path Labs Ltd.,INE600L01024,NSE,Unclassified,Unclassified,LALPATHLAB.NS,IN,NSE_MAINBOARD
LAMBODHARA,Lambodhara Textiles Limited,INE112F01022,NSE,Unclassified,Unclassified,LAMBODHARA.NS,IN,NSE_MAINBOARD
LANCORHOL,Lancor Holdings Limited,INE572G01025,NSE,Unclassified,Unclassified,LANCORHOL.NS,IN,NSE_MAINBOARD
LANDMARK,Landmark Cars Limited,INE559R01029,NSE,Unclassified,Unclassified,LANDMARK.NS,IN,NSE_MAINBOARD
LANDSMILL,Landsmill Green Limited,INE688J01023,NSE,Unclassified,Unclassified,LANDSMILL.NS,IN,NSE_MAINBOARD
LAOPALA,La Opala RG Limited,INE059D01020,NSE,Unclassified,Unclassified,LAOPALA.NS,IN,NSE_MAINBOARD
LASA,Lasa Supergenerics Limited,INE670X01014,NSE,Unclassified,Unclassified,LASA.NS,IN,NSE_MAINBOARD
LASERPOWER,Laser Power & Infra Limited,INE17IR01028,NSE,Unclassified,Unclassified,LASERPOWER.NS,IN,NSE_MAINBOARD
LATENTVIEW,Latent View Analytics Limited,INE0I7C01011,NSE,Unclassified,Unclassified,LATENTVIEW.NS,IN,NSE_MAINBOARD
LATTEYS,Latteys Industries Limited,INE262Z01023,NSE,Unclassified,Unclassified,LATTEYS.NS,IN,NSE_MAINBOARD
LAURUSLABS,Laurus Labs Limited,INE947Q01028,NSE,Healthcare,Healthcare,LAURUSLABS.NS,IN,NSE_MAINBOARD
LAXMICOT,Laxmi Cotspin Limited,INE801V01019,NSE,Unclassified,Unclassified,LAXMICOT.NS,IN,NSE_MAINBOARD
LAXMIDENTL,Laxmi Dental Limited,INE0WO601020,NSE,Unclassified,Unclassified,LAXMIDENTL.NS,IN,NSE_MAINBOARD
LAXMIINDIA,Laxmi India Finance Limited,INE06WU01026,NSE,Unclassified,Unclassified,LAXMIINDIA.NS,IN,NSE_MAINBOARD
LCCINFOTEC,LCC Infotech Limited,INE938A01021,NSE,Unclassified,Unclassified,LCCINFOTEC.NS,IN,NSE_MAINBOARD
LEMERITE,Le Merite Exports Limited,INE0G1L01025,NSE,Unclassified,Unclassified,LEMERITE.NS,IN,NSE_MAINBOARD
LEMONTREE,Lemon Tree Hotels Limited,INE970X01018,NSE,Unclassified,Unclassified,LEMONTREE.NS,IN,NSE_MAINBOARD
LENSKART,Lenskart Solutions Limited,INE956O01016,NSE,Consumer Services,Consumer Services,LENSKART.NS,IN,NSE_MAINBOARD
LEXUS,Lexus Granito (India) Limited,INE500X01013,NSE,Unclassified,Unclassified,LEXUS.NS,IN,NSE_MAINBOARD
LFIC,Lakshmi Finance & Industrial Corporation Limited,INE850E01012,NSE,Unclassified,Unclassified,LFIC.NS,IN,NSE_MAINBOARD
LGBBROSLTD,LG Balakrishnan & Bros Limited,INE337A01034,NSE,Unclassified,Unclassified,LGBBROSLTD.NS,IN,NSE_MAINBOARD
